glycan,glycan_type,tissue_sample,disease_association,n_tissue_labels
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,AML_193_cell_line; EOL_1_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL_60_ce,"['cataract', 'lung_small_cell_carcinoma']",31
Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc1Cer,lipid,HEL92_1_7_cell_line; ML_1_cell_line; brain; brain; brain; brain; brain; brain; b,['glioblastoma'],30
Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc,O,A549_cell_line; CaCo_2_cell_line; HCT116_cell_line; HEK293_cell_line; LS174T_cel,"['colorectal_cancer', 'colorectal_cancer', 'colorectal_cancer', 'colorectal_canc",29
GalNAc(b1-3)Gal,O,S2_cell_line; blood_serum; cervical_mucus; colon; duodenum; eye; eye; eye; gill;,[],28
Man(a1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,AML_193_cell_line; C10_cell_line; Caco_2_cell_line; EOL_1_cell_line; HEL92_1_7_c,['colorectal_cancer'],27
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2_cell_line; Co_115_,[],26
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,AML_193_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL60_cell_line; HL_60_cel,['benign_breast_tumor_tissues_vs_para_carcinoma_tissues'],26
Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[GlcNAc(b1-2)Man(a1-3/6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Cervicovaginal_Secretion; HL_60_cell_line; K562_cell_line; THP1_cell_line; T_cel,"['Crohn_disease', 'chronic_low_back_pain', 'lung_non_small_cell_carcinoma', 'typ",26
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc1Cer,lipid,AML_193_cell_line; EOL_1_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL_60_ce,[],26
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3/6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,2A3_cell_line; C10_cell_line; COLO_205_cell_line; COLO_320_cell_line; Caco_2_cel,"['colorectal_cancer', 'colorectal_cancer']",26
GlcNAc(b1-2)Man(a1-3)[Man(a1-3)[Man(a1-6)]Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,Caco_2_cell_line; SW1116_cell_line; SW480_cell_line; SW620_cell_line; alveolus_o,[],26
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,N,AML_193_cell_line; EOL_1_cell_line; HEL92_1_7_cell_line; HEL_cell_line; HL_60_ce,[],25
Gal(b1-3)GalNAc,O,colon; colon; colonic_mucosa; colonic_mucosa; colonic_mucosa; cornea; ileum; liv,"['colorectal_cancer', 'liver_cancer']",25
Neu5Ac(a2-6)GalNAc,O,actinopterygian_pyloric_caecum; colon; colon; colonic_mucosa; colonic_mucosa; ey,"['Parkinson_disease', 'colorectal_cancer', 'liver_cancer']",25
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2/4/6)[Gal(b1-4)GlcNAc(b1-2/4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,BMMC_cell_line; B_cell; HL_60_cell_line; HeLaEV2_cell_line; HeLaPF_cell_line; K5,[],24
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)[Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,BMMC_cell_line; CHOK1_cell_line; CRL_1620_cell_line; bone_marrow_mast_cells; bra,['lung_non_small_cell_carcinoma'],24
Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Neu5Ac(a2-3/6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,HL60_cell_line; HeLaEV2_cell_line; K562_cell_line; MDCK_SIAT1_cell_line; PBMC_ce,"['chronic_low_back_pain', 'lung_non_small_cell_carcinoma', 'prostate_cancer']",24
Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4/6)]Man(a1-3/6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3/6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,N,BMMC_cell_line; B_cell; HL_60_cell_line; HeLaPF_cell_line; K562_cell_line; PBMC_,[],24
